DATAFLOW,LAST UPDATE,freq,unit,sex,age,icd10,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C16,EE,2001,145,
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C16,EE,2002,154,
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C16,EE,2003,155,
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C16,EE,2004,164,
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C16,EE,2005,150,
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C16,EE,2006,159,
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C16,EE,2007,148,
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C16,EE,2008,139,
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C16,EE,2009,150,
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C16,EE,2010,128,
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C16,EL,2001,533,
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C16,EL,2002,546,
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C16,EL,2003,509,
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C16,EL,2004,503,
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C16,EL,2005,500,
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C16,EL,2006,496,
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C16,EL,2007,530,
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C16,EL,2008,503,
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C16,EL,2009,462,
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C16,EL,2010,492,
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C16,ES,2001,2349,
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C16,ES,2002,2218,
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C16,ES,2003,2321,
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C16,ES,2004,2200,
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C16,ES,2005,2132,
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C16,ES,2006,2174,
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C16,ES,2007,2233,
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C16,ES,2008,2193,
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C16,ES,2009,2163,
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C16,ES,2010,2250,
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C16,EU27_2020,2001,26235,e
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C16,EU27_2020,2002,25898,e
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C16,EU27_2020,2003,25274,
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C16,EU27_2020,2004,24823,e
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C16,EU27_2020,2005,24058,e
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C16,EU27_2020,2006,23532,
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C16,EU27_2020,2007,23159,
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C16,EU27_2020,2008,23013,
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C16,EU27_2020,2009,22558,
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C16,EU27_2020,2010,22187,e
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C16,EU28,2001,28781,e
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C16,EU28,2002,28312,e
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C16,EU28,2003,27552,
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C16,EU28,2004,27104,e
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C16,EU28,2005,26210,e
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C16,EU28,2006,25538,
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C16,EU28,2007,25135,
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C16,EU28,2008,25007,
