DATAFLOW,LAST UPDATE,freq,unit,sex,age,icd10,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C25,FR,2002,3659,
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C25,FR,2003,3577,
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C25,FR,2004,3773,
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C25,FR,2005,3907,
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C25,FR,2006,4049,
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C25,FR,2007,4246,
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C25,FR,2008,4404,
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C25,FR,2009,4541,
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C25,FR,2010,4584,
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C25,FX,2001,3513,
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C25,FX,2002,3614,
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C25,FX,2003,3531,
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C25,FX,2004,3727,
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C25,FX,2005,3857,
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C25,FX,2006,4004,
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C25,FX,2007,4192,
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C25,FX,2008,4335,
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C25,FX,2009,4472,
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C25,FX,2010,4498,
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C25,HR,2001,253,
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C25,HR,2002,251,
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C25,HR,2003,252,
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C25,HR,2004,269,
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C25,HR,2005,281,
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C25,HR,2006,292,
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C25,HR,2007,312,
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C25,HR,2008,349,
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C25,HR,2009,329,
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C25,HR,2010,318,
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C25,HU,2001,780,
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C25,HU,2002,810,
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C25,HU,2003,874,
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C25,HU,2004,828,
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C25,HU,2005,803,
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C25,HU,2006,873,
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C25,HU,2007,909,
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C25,HU,2008,895,
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C25,HU,2009,940,
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C25,HU,2010,985,
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C25,IE,2001,178,
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C25,IE,2002,191,
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C25,IE,2003,210,
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C25,IE,2004,195,
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C25,IE,2005,173,
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C25,IE,2006,214,
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C25,IE,2007,227,
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C25,IE,2008,231,
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C25,IE,2009,241,
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C25,IE,2010,236,
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C25,IS,2001,11,
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C25,IS,2002,18,
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C25,IS,2003,18,
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C25,IS,2004,10,
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C25,IS,2005,13,
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C25,IS,2006,16,
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C25,IS,2007,20,
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C25,IS,2008,17,
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C25,IS,2009,17,
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C25,IT,2001,4256,
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C25,IT,2002,4301,
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C25,IT,2003,4503,
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C25,IT,2006,4818,
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C25,IT,2007,5084,
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C25,IT,2008,5051,
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C25,IT,2009,5154,
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C25,IT,2010,5429,
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C25,LT,2001,173,
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C25,LT,2002,215,
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C25,LT,2003,183,
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C25,LT,2004,195,
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C25,LT,2005,234,
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C25,LT,2006,215,
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C25,LT,2007,189,
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C25,LT,2008,224,
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C25,LT,2009,215,
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C25,LT,2010,221,
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C25,LU,2001,32,
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C25,LU,2002,39,
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C25,LU,2003,28,
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C25,LU,2004,28,
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C25,LU,2005,27,
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C25,LU,2006,17,
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C25,LU,2007,25,
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C25,LU,2008,31,
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C25,LU,2009,46,
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C25,LU,2010,31,
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C25,LV,2001,165,
